Model,Precision,Recall,F1,PR AUC,Threshold,Validation F1
All non-churn baseline,0.0,0.0,0.0,0.26540284360189575,0.5,
Dummy baseline,0.0,0.0,0.0,0.26540284360189575,0.5,
Logistic Regression no SMOTE,0.6033755274261603,0.5107142857142857,0.5531914893617021,0.578583288489818,0.5,
Logistic Regression,0.5142857142857142,0.7071428571428572,0.5954887218045113,0.5661955613986978,0.44314164114389093,0.6417910442891112
Random Forest,0.5076142131979695,0.7142857142857143,0.5934718100890207,0.5802304563439059,0.45601659177403614,0.633720929749328
Gradient Boosting,0.5163043478260869,0.6785714285714286,0.5864197530864198,0.5860779718875345,0.5237150296140166,0.6406015032713935
XGBoost,0.5216216216216216,0.6892857142857143,0.5938461538461538,0.5873656113032985,0.5276160836219788,0.6399999995140125
